ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
JPM,2024-01-26,long,5,171.9803,164.3,7.6803,172.61,164.3,189.23,183.75,2024-02-26,8.31,11.14,1.3406,WIN,maxhold
JPM,2024-06-14,short,5,201.98,195.33,6.65,191.45,201.98,170.39,201.98,2024-06-28,10.53,-10.53,-1.0,LOSS,stop
JPM,2024-07-03,long,1,207.09,202.66,4.43,209.55,202.66,223.33,202.66,2024-07-12,6.89,-6.89,-1.0,LOSS,stop
JPM,2024-10-18,long,1,223.7,218.88,4.82,225.0,218.88,237.24,237.24,2024-11-06,6.12,12.24,2.0,WIN,target
JPM,2024-12-19,short,1,239.02,236.63,2.39,232.27,239.02,218.77,239.02,2024-12-20,6.75,-6.75,-1.0,LOSS,stop
JPM,2025-01-17,long,2,253.6699,242.19,11.4799,254.14,242.19,278.04,278.04,2025-02-07,11.95,23.9,2.0,WIN,target
JPM,2025-06-25,long,3,278.55,269.72,8.83,281.5,269.72,305.06,297.66,2025-07-28,11.78,16.16,1.3718,WIN,maxhold
JPM,2025-09-05,long,5,302.95,293.5001,9.4499,303.65,293.5001,323.9498,293.5001,2025-09-08,10.1499,-10.1499,-1.0,LOSS,stop
JPM,2025-09-16,long,4,307.55,292.31,15.24,310.0,292.31,345.38,299.16,2025-10-17,17.69,-10.84,-0.6128,LOSS,maxhold
JPM,2025-11-07,long,5,312.87,303.01,9.86,311.89,303.01,329.65,303.01,2025-11-14,8.88,-8.88,-1.0,LOSS,stop
JPM,2026-01-16,short,2,326.86,310.572,16.288,310.35,326.86,277.33,302.76,2026-02-17,16.51,7.59,0.4597,WIN,maxhold
LLY,2018-05-14,long,5,79.39,77.09,2.3,82.6,77.09,93.62,85.67,2018-06-14,5.51,3.07,0.5572,WIN,maxhold
LLY,2018-07-05,long,5,86.1,84.64,1.46,86.91,84.64,91.45,91.45,2018-07-24,2.27,4.54,2.0,WIN,target
